"ID";"Origen";"Region";"Comuna";"Km";"Peaje";"Tag";"PrecioBruto";"PrecioFinal";"Min";"Activa";"Notas";"Creada";"Actualizada"
"256";"QUILICURA";"LIBERTADOR BERNARDO OHIGGINS";"PICHILEMU";"214";"11690";"11690";"59760";"178408";"190";"true";"";"27-02-2026 18:46";"26-03-2026 14:42"
"255";"QUILICURA";"MAULE";"HUALA¥E";"200";"3000";"0";"37000";"114680";"150";"true";"";"09-02-2026 13:19";"26-03-2026 14:42"
"254";"QUILICURA";"LIBERTADOR BERNARDO OHIGGINS";"DO¥IHUE";"85";"0";"1500";"15950";"55740";"64";"true";"";"09-02-2026 13:19";"26-03-2026 14:42"
"253";"QUILICURA";"COQUIMBO";"VICU¥A";"520";"7000";"0";"95400";"278200";"390";"true";"";"09-02-2026 13:19";"26-03-2026 14:42"
"252";"QUILICURA";"VALPARAISO";"PUTAENDO";"60";"0";"1500";"11700";"43840";"45";"true";"";"09-02-2026 13:15";"26-03-2026 14:42"
"251";"QUILICURA";"VALPARAISO";"PANQUEHUE";"60";"0";"1500";"11700";"43840";"45";"true";"";"09-02-2026 13:15";"26-03-2026 14:42"
"250";"QUILICURA";"VALPARAISO";"LLAY LLAY";"60";"0";"1500";"11700";"43840";"45";"true";"";"09-02-2026 13:15";"26-03-2026 14:42"
"249";"QUILICURA";"VALPARAISO";"LA LIGUA";"60";"0";"1500";"11700";"43840";"45";"true";"";"09-02-2026 13:15";"26-03-2026 14:42"
"248";"QUILICURA";"VALPARAISO";"CATEMU";"60";"0";"1500";"11700";"43840";"45";"true";"";"09-02-2026 13:15";"26-03-2026 14:42"
"247";"QUILICURA";"VALPARAISO";"CABILDO";"60";"0";"1500";"11700";"43840";"45";"true";"";"09-02-2026 13:15";"26-03-2026 14:42"
"246";"QUILICURA";"VALPARAISO";"ZAPALLAR";"150";"2500";"1500";"29500";"93680";"112";"true";"";"09-02-2026 13:15";"26-03-2026 14:42"
"245";"QUILICURA";"VALPARAISO";"SANTO DOMINGO";"190";"2500";"0";"34800";"108520";"142";"true";"";"09-02-2026 13:15";"26-03-2026 14:42"
"244";"QUILICURA";"VALPARAISO";"QUINTERO";"120";"2500";"1500";"24400";"79400";"90";"true";"";"09-02-2026 13:15";"26-03-2026 14:42"
"243";"QUILICURA";"VALPARAISO";"PUCHUNCAVI";"120";"2500";"1500";"24400";"79400";"90";"true";"";"09-02-2026 13:15";"26-03-2026 14:42"
"242";"QUILICURA";"VALPARAISO";"PAPUDO";"120";"2500";"1500";"24400";"79400";"90";"true";"";"09-02-2026 13:15";"26-03-2026 14:42"
"241";"QUILICURA";"VALPARAISO";"ALGARROBO";"120";"2500";"1500";"24400";"79400";"90";"true";"";"09-02-2026 13:15";"26-03-2026 14:42"
